"id"|"status"|"company_parking_lot_id"|"cms_created"|"cms_updated"
"144152"|"free"|"6"|"2019-02-01 15:21:05"|"2019-02-01 15:21:05"
"144153"|"occupied"|"6"|"2019-02-01 15:22:06"|"2019-02-01 15:22:06"
"144154"|"free"|"15"|"2019-02-01 15:24:05"|"2019-02-01 15:24:05"
"144156"|"free"|"3"|"2019-02-01 15:29:05"|"2019-02-01 15:29:05"
"144157"|"free"|"43"|"2019-02-01 15:29:05"|"2019-02-01 15:29:05"
"144158"|"free"|"72"|"2019-02-01 15:39:06"|"2019-02-01 15:39:06"
"144159"|"free"|"38"|"2019-02-01 15:47:06"|"2019-02-01 15:47:06"
"144160"|"free"|"91"|"2019-02-01 15:49:06"|"2019-02-01 15:49:06"
"144161"|"free"|"65"|"2019-02-01 15:53:07"|"2019-02-01 15:53:07"
"144162"|"free"|"48"|"2019-02-01 16:01:05"|"2019-02-01 16:01:05"
"144163"|"free"|"44"|"2019-02-01 16:24:04"|"2019-02-01 16:24:04"
"144164"|"free"|"42"|"2019-02-01 16:30:05"|"2019-02-01 16:30:05"
"144165"|"free"|"4"|"2019-02-01 16:45:05"|"2019-02-01 16:45:05"
"144166"|"free"|"28"|"2019-02-01 16:56:05"|"2019-02-01 16:56:05"
"144167"|"free"|"45"|"2019-02-01 16:59:04"|"2019-02-01 16:59:04"
"144168"|"free"|"92"|"2019-02-01 17:03:06"|"2019-02-01 17:03:06"
"144169"|"free"|"85"|"2019-02-01 17:19:06"|"2019-02-01 17:19:06"
"144170"|"free"|"9"|"2019-02-01 17:23:05"|"2019-02-01 17:23:05"
"144171"|"occupied"|"15"|"2019-02-01 17:25:05"|"2019-02-01 17:25:05"
"144172"|"free"|"47"|"2019-02-01 17:25:06"|"2019-02-01 17:25:06"
"144173"|"free"|"15"|"2019-02-01 17:26:05"|"2019-02-01 17:26:05"
"144174"|"occupied"|"13"|"2019-02-01 17:27:04"|"2019-02-01 17:27:04"
"144175"|"free"|"13"|"2019-02-01 17:28:05"|"2019-02-01 17:28:05"
"144176"|"free"|"59"|"2019-02-01 17:31:05"|"2019-02-01 17:31:05"
"144177"|"occupied"|"4"|"2019-02-01 17:36:04"|"2019-02-01 17:36:04"
"144178"|"free"|"4"|"2019-02-01 17:37:04"|"2019-02-01 17:37:04"
"144179"|"free"|"6"|"2019-02-01 17:41:04"|"2019-02-01 17:41:04"
"144180"|"free"|"12"|"2019-02-01 17:44:04"|"2019-02-01 17:44:04"
"144181"|"free"|"49"|"2019-02-01 19:07:05"|"2019-02-01 19:07:05"
"144182"|"free"|"5"|"2019-02-01 19:12:04"|"2019-02-01 19:12:04"
"144183"|"free"|"52"|"2019-02-01 19:47:06"|"2019-02-01 19:47:06"
"144184"|"occupied"|"45"|"2019-02-01 20:03:06"|"2019-02-01 20:03:06"
"144185"|"free"|"45"|"2019-02-01 20:40:04"|"2019-02-01 20:40:04"
"144186"|"free"|"18"|"2019-02-01 22:57:05"|"2019-02-01 22:57:05"
"144187"|"free"|"19"|"2019-02-01 22:57:05"|"2019-02-01 22:57:05"
"144188"|"occupied"|"42"|"2019-02-02 08:30:04"|"2019-02-02 08:30:04"
"144189"|"free"|"42"|"2019-02-02 08:32:05"|"2019-02-02 08:32:05"
"144190"|"occupied"|"79"|"2019-02-02 14:42:06"|"2019-02-02 14:42:06"
"144191"|"free"|"79"|"2019-02-02 14:57:05"|"2019-02-02 14:57:05"
"144192"|"occupied"|"38"|"2019-02-03 10:27:05"|"2019-02-03 10:27:05"
"144193"|"free"|"38"|"2019-02-03 12:59:04"|"2019-02-03 12:59:04"
"144194"|"occupied"|"64"|"2019-02-04 05:19:06"|"2019-02-04 05:19:06"
"144195"|"free"|"14"|"2019-02-04 06:20:03"|"2019-02-04 06:20:03"
"144196"|"occupied"|"61"|"2019-02-04 06:21:06"|"2019-02-04 06:21:06"
